product_id,product_name
482300,Toni&Guy Sky High Volume Dry Shampoo
404757,Britannia Asli Pepper Cheese Spread - Pack of 2
441874,Grocery Standard Raw Sonamasuri Rice
487526,Cadbury Bournvita Chocolate Health Drink - Pack of 2
492319,Chocodate Exclusive Real Caramel Chocolate Pack
495390,Didier & Frank Dark Chocolate Gift Pack
482115,Sita Ram's Kabuli Chana Namkeen - Pack of 2
483997,Reese's Peanut Butter Cup Chocolate
429708,Baidyanath Karela Jamun Herbal Juice (Maintain Healthy Sugar Level)
426373,Hershey's Rakhi Chocolate Gift Pack
487499,Rage Coffee Dark Chocolate Instant Coffee - Pack of 2
118597,Lakme Perfecting Liquid Foundation (Coral)
478993,La Carne Italian Herbed Chicken Breast
81296,Organic Tattva Red Organic Chilli Powder
432765,Dabur Tulsi Anti-Bacterial Toothpaste
485288,Parachute 100% Pure Coconut Oil - Pack of 2
490461,24 Mantra Expeller Pressed Organic Sunflower Oil - Pack of 2
492209,"Two Brothers Organic Farms Mustard Organic Honey (Raw, MonoFloral)"
495284,Praakritik Organic Kolam Rice - Pack of 2
495746,I Say Organic Cow Ghee
481935,Haldiram's Nagpur Moong Dal Namkeen - Pack of 2
100644,Post Pebbles Fruity Cereal
426668,Colgate Visible White Teeth Whitening With Accelerators To Protect Enamel And Remove Stains Toothpaste
486711,Nutralite Crunchy Chocolate Spread (Quinoa & Hazelnut) - Pack of 2
11402,Himalaya Neem Face Pack
357316,Green Pumpkin
3907,Ivy Gourd
486844,Sita Ram's Jammu Mix Namkeen - Pack of 2
491994,Currygram Biryani Paste - Pack of 2
493282,Chheda's Chana Dal Namkeen - Buy 2 Get 1 Free
495377,Coca-Cola Vanilla Soft Drink (Zero Sugar)
495744,I Say Organic Chatpata Snacks Gift Hamper
453409,Parle Chatkeen Bhujia Sev Chatpate Namkeen
489248,Dolce Vita Cabernet Sauvignon Red Wine Vinegar
496055,Priniti Tasty Nuts
294635,Potato
424615,Cadbury Bournville Rich Cocoa 70% Dark Chocolate Bar
494000,Conscious Food Organic Raw Sugar - Pack of 2
475662,Nivea Soft Light Peppy Pomegranate Moisturizing Cream
329,Complan Royale Chocolate Nutrition and Health Drink
438795,Whole Farm Black Pesticide-Free Peppercorns
481991,"GHD Namkeen, Combo (Khatta Metha, Bhujia Sev, Tasty Masala Peanut & Navratan Mixture) - Pack of 2"
478697,Real Thai Green chilli Sauce
257199,Green Zucchini
434489,Hommade Khatta Lime Pickle
