product_id,order_count
483428,3
41560,3
448433,3
448458,3
409234,3
434436,3
448471,3
431737,3
483582,3
484111,3
483251,3
482105,3
483901,3
482209,3
185626,3
477770,3
53439,3
485154,3
485901,3
485256,3
485286,3
370326,3
369205,3
487171,3
482287,3
486331,3
309202,3
482291,3
3228,3
486208,3
475875,3
476052,3
476155,3
486196,3
139884,3
476764,3
388279,3
486039,3
486160,3
484716,3
84,3
482393,3
10853,3
486191,3
484679,3
481552,3
68590,3
483897,3
391024,3
467424,3
391334,3
486180,2
486192,2
409214,2
486181,2
486184,2
486200,2
486187,2
486194,2
406575,2
484127,2
391810,2
149073,2
409250,2
486202,2
427659,2
9097,2
484001,2
484003,2
425557,2
81080,2
770,2
72845,2
423340,2
125319,2
128379,2
133714,2
13530,2
421666,2
142936,2
143062,2
484151,2
486222,2
486218,2
484148,2
275882,2
486178,2
484978,2
484261,2
484266,2
485151,2
485144,2
484271,2
485134,2
485129,2
383680,2
385735,2
484298,2
484821,2
486163,2
484796,2
484304,2
484786,2
484680,2
484312,2
484324,2
388573,2
390087,2
484631,2
395559,2
484260,2
484256,2
484250,2
368371,2
484156,2
484160,2
223635,2
484162,2
23949,2
267,2
484176,2
486029,2
293341,2
484185,2
404548,2
485899,2
3230,2
484209,2
323139,2
343025,2
484238,2
36149,2
484240,2
402777,2
484248,2
485001,2
484081,2
100550,2
448435,2
483212,2
456282,2
477858,2
455636,2
478022,2
455332,2
478036,2
455290,2
478048,2
448436,2
478784,2
477080,2
478954,2
445947,2
445525,2
482392,2
441876,2
441652,2
441574,2
483373,2
482303,2
479036,2
457389,2
477011,2
438304,2
474421,2
482952,2
482953,2
482954,2
475589,2
475723,2
475766,2
483895,2
475869,2
482700,2
482698,2
482656,2
457882,2
470948,2
468339,2
464960,2
464956,2
476767,2
476928,2
476986,2
476993,2
477004,2
457884,2
438305,2
482409,2
483866,2
483889,2
480251,2
437240,2
480122,2
483884,2
483880,2
479329,2
479988,2
483864,2
483860,2
479751,2
480367,2
438298,2
429713,2
480755,2
438202,2
429398,2
479625,1
476717,1
53697,1
476735,1
477850,1
3523,1
350808,1
349804,1
349778,1
480123,1
57046,1
476736,1
476737,1
307936,1
139310,1
3229,1
3221,1
356037,1
485782,1
476991,1
482251,1
17488,1
480474,1
35619,1
476055,1
481451,1
475710,1
482778,1
482775,1
481269,1
485187,1
109966,1
485190,1
475713,1
475729,1
377384,1
475752,1
485393,1
475764,1
113547,1
11371,1
475866,1
372011,1
475867,1
480488,1
369110,1
78061,1
485567,1
485574,1
364291,1
480479,1
485578,1
479620,1
35922,1
485906,1
482257,1
294626,1
482341,1
482384,1
479593,1
486190,1
482381,1
482375,1
487177,1
482370,1
482358,1
482357,1
482349,1
482348,1
482347,1
486199,1
482342,1
486205,1
477856,1
482340,1
486209,1
182222,1
160298,1
482292,1
478973,1
486223,1
486329,1
486404,1
479234,1
486335,1
17693,1
479243,1
479307,1
19143,1
482279,1
482394,1
482278,1
486401,1
477862,1
52803,1
27473,1
478025,1
488730,1
25908,1
140746,1
24229,1
478042,1
223638,1
478043,1
488172,1
488170,1
216360,1
21555,1
201583,1
479599,1
486159,1
479597,1
487662,1
482415,1
479596,1
482413,1
475595,1
194125,1
482402,1
482400,1
482397,1
482899,1
483896,1
482945,1
405935,1
484161,1
438815,1
438811,1
438809,1
405934,1
438395,1
438306,1
405936,1
445717,1
405937,1
438303,1
405987,1
438301,1
407179,1
484130,1
483446,1
439215,1
484164,1
405478,1
483376,1
484211,1
442210,1
484205,1
484202,1
484200,1
483350,1
441648,1
484186,1
484184,1
439976,1
484180,1
484179,1
484175,1
484174,1
484173,1
407642,1
407945,1
408710,1
428387,1
483879,1
424357,1
425139,1
483881,1
425731,1
425732,1
426664,1
484005,1
483882,1
484000,1
483885,1
483893,1
483992,1
483990,1
483989,1
483858,1
481620,1
438198,1
429219,1
409241,1
432227,1
409554,1
409560,1
410417,1
430977,1
483585,1
430492,1
411308,1
429906,1
484095,1
429354,1
421560,1
483710,1
422783,1
483323,1
484237,1
485123,1
474086,1
484732,1
474435,1
484714,1
484704,1
484690,1
484686,1
474402,1
474080,1
445916,1
473800,1
470065,1
467451,1
391642,1
391647,1
391676,1
391791,1
483037,1
484760,1
475267,1
484795,1
380034,1
380041,1
380054,1
383760,1
386708,1
386709,1
475584,1
475364,1
3874,1
475309,1
387972,1
475306,1
388495,1
484797,1
482988,1
392712,1
462385,1
460643,1
484274,1
484269,1
483253,1
484263,1
484262,1
452623,1
483263,1
448455,1
484255,1
484252,1
484251,1
448003,1
484246,1
484243,1
447729,1
484239,1
484270,1
455544,1
393829,1
484282,1
393832,1
395542,1
484341,1
460435,1
460428,1
458939,1
484313,1
457876,1
484306,1
484305,1
457021,1
400585,1
456279,1
455960,1
484285,1
475280,1
